system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,landcover,mndwi,ndbi,ndvi,random,slope,.geo
00000000000000000654_0,0.03164258793969849,0.29423461308828497,0.13200112580917533,0.03869552914544425,0.09138612511925855,0.04403048264182896,0.1597775718257646,0.47251076767164935,0.558343949044586,0.5979247730220493,0.5924152213305721,0.5766709550940391,0.2229412378137807,0.015348837,3,0.24993778366865987,0.2192061629579963,0.962404612364192,0.736949346409918,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000655_0,0.03439070351758794,0.27830646626690553,0.13186039966225724,0.038341822297679684,0.08450320294398256,0.042467270240343906,0.1556997219647822,0.48923232835064606,0.566624203821656,0.5931258106355383,0.5974631115713176,0.5692581020645715,0.2060751555772445,0.015813954,3,0.24548319361821588,0.2074551717730466,0.9642290756803923,0.6783515718398786,0.024796862175113468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000656_0,0.03391959798994975,0.28208602652960574,0.1339712918660287,0.039756649688737974,0.0905683521875426,0.05269328470005862,0.15007723200494286,0.4834684570559919,0.5640127388535032,0.5932555123216602,0.6060704115972042,0.5727501072106843,0.22163027156468096,0.015348837,3,0.2562472293143872,0.21071713204110093,0.9490391099309449,0.3494938862462639,0.02479668681131917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000657_0,0.032506281407035174,0.23268177452431016,0.1235575569940895,0.03367289190718732,0.07578029167234565,0.0436396795414577,0.12431263515600866,0.31555611857106663,0.42089171974522294,0.4363164721141375,0.45003882992492883,0.4297004227164124,0.2640788037283972,0.015348837,3,0.2584867898586844,0.2406921329908038,0.9394163554747497,0.04311057525202999,0.024795985356141977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000658_0,0.0313285175879397,0.23727124055758897,0.11258091753447791,0.03515846066779853,0.08102766798418973,0.0422067348400964,0.13209762125424776,0.33677476564479353,0.48898089171974524,0.49844357976653697,0.503429976702045,0.47613796483489557,0.2187736222534023,0.015348837,3,0.2679680643280007,0.21162728726239116,0.9526499418508058,0.9246974836703549,0.015328920510000786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000659_0,0.026853015075376883,0.22930716714689925,0.1070925978046721,0.03310696095076401,0.07714324655853891,0.03803816843613626,0.11671300586963237,0.34190524448948567,0.4740764331210191,0.49831387808041505,0.5174087496764173,0.5044415854928628,0.20347473940708205,0.015813954,3,0.2648571749667548,0.20334077247347132,0.9600046784371894,0.8116358065355124,0.04187063979715549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065a_0,0.03501884422110553,0.30894790125379645,0.15747255840135096,0.04980192416525184,0.09840534278315388,0.06122581905816453,0.16632684584491814,0.4758044084114517,0.5275159235668789,0.5430609597924773,0.5464664768314781,0.5626416712614103,0.2871971766686769,0.015348837,3,0.2549211467573552,0.2566131464886077,0.9287165486435403,0.9703057618756405,0.024795344982735827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065b_0,0.03234924623115578,0.30732808971263925,0.14663664508865748,0.04485002829654782,0.09922311571486984,0.05549404025271934,0.16397899289465553,0.46807702052191535,0.5364331210191082,0.5691309987029831,0.5586331866425058,0.5244134043987012,0.2647923052949727,0.014883721,3,0.2575480909062175,0.2429261559696342,0.9415578189986167,0.6855409421264717,0.03896922808706386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065c_0,0.0414572864321608,0.3346624094696675,0.18948775682521812,0.06338426711941143,0.11108082322475125,0.07640200612258191,0.1551436515291937,0.37053458322776794,0.43006369426751595,0.4618028534370947,0.4862800931918198,0.47540280585676653,0.38117767129189917,0.015813954,3,0.26320369697559287,0.3224242317230122,0.8868770486807622,0.6514040570463272,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065d_0,0.040986180904522614,0.3167094982218415,0.17063045313819308,0.0476796830786644,0.10188087774294671,0.06708786556373347,0.153660797034291,0.4158221434000507,0.48656050955414015,0.496757457846952,0.5271162309086203,0.49519083501807265,0.3366683258421192,0.015813954,3,0.2569080213222812,0.2871725207126931,0.9105325054692144,0.5569525465470906,0.03631473648086384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065e_0,0.06501256281407035,0.20258027671780496,0.10441880101322826,0.056734578381437466,0.07169142701376584,0.06161662215853579,0.1375347544022243,0.3413985305295161,0.4354140127388535,0.47055771725032425,0.4764431788765208,0.4542057219873798,0.20466058704361537,0.01627907,3,0.2746460035907872,0.18761369197669367,0.9138269679601062,0.05571236022149695,0.04186788126555978,"{""type"":""MultiPoint"",""coordinates"":[]}"
